Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Author Keywords,Index Keywords,Document Type,Source,EID
"Hsueh S.-L., Feng Y., Sun Y., Jia R., Yan M.-R.","9745425300;57340384700;57215056895;57340178400;36665628100;","Using ai‐mcdm model to boost sustainable energy system development: A case study on solar energy and rainwater collection in guangdong province",2021,"Sustainability (Switzerland)","13","22","12505","","",,,"10.3390/su132212505","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119171441&doi=10.3390%2fsu132212505&partnerID=40&md5=0ef353710a1934a690f5a59929a816c5","Analytic hierarchy process; Delphi method; Fuzzy logic theory; Low carbon emission self‐use residences; Rural revitalization; Sustainable system development","alternative energy; artificial intelligence; economic development; fuzzy mathematics; natural resource; rainfall; solar power; China; Conghua; Guangdong",Article,Scopus,2-s2.0-85119171441
"Bao Q., Zhang X., Wu X., Zhang Q., Chen J.","57250663000;57215550825;57339439200;55624487704;57208283800;","Research on public environmental perception of emotion, taking haze as an example",2021,"International Journal of Environmental Research and Public Health","18","22","12115","","",,,"10.3390/ijerph182212115","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119112629&doi=10.3390%2fijerph182212115&partnerID=40&md5=701b4f5a1db6ff302eeab7f670305583","Convolutional neural network; Deep learning; Environmental perception of emotion; Weighted networks","artificial neural network; environmental values; haze; perception; psychology; public attitude; article; autumn; convolutional neural network; deep learning; ecology; emotion; environmental management; haze; human; human experiment; perception; public opinion; spring; summer; winter; China; emotion; perception; social media; weather; China; Emotions; Humans; Perception; Public Opinion; Social Media; Weather",Article,Scopus,2-s2.0-85119112629
"Love N.L.R., Bonnet P., Goëau H., Joly A., Mazer S.J.","57210106638;57195772427;24450343100;56264909800;7004055938;","Machine learning undercounts reproductive organs on herbarium specimens but accurately derives their quantitative phenological status: A case study of streptanthus tortuosus",2021,"Plants","10","11","2471","","",,2,"10.3390/plants10112471","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119057135&doi=10.3390%2fplants10112471&partnerID=40&md5=689a998cdcf669ce5c434b035f5388d4","Climate change; Deep learning; Flowering time; Natural history collections; Object detection; Phenological shift; Phenological stage annotation; Phenology; Regional convolutional neural network; Visual data classification",,Article,Scopus,2-s2.0-85119057135
"Zeng N., Ren X., He H., Zhang L., Li P., Niu Z.","57193496335;55362597000;57226594461;56253866600;57199005719;57204022245;","Estimating the grassland aboveground biomass in the Three-River Headwater Region of China using machine learning and Bayesian model averaging",2021,"Environmental Research Letters","16","11","114020","","",,,"10.1088/1748-9326/ac2e85","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118762155&doi=10.1088%2f1748-9326%2fac2e85&partnerID=40&md5=d69a04c8dd2568aa84aeb3ebe0659492","grassland aboveground biomass (AGB); precipitation sensitivity; random forest; Three-River Headwater Region","Bayesian networks; Biomass; Conservation; Decision trees; Ecology; Forecasting; Mean square error; Neural networks; Rivers; Sensitivity analysis; Statistical tests; Support vector machines; Aboveground biomass; Bayesian model averaging; Carbon cycles; Explicit information; Grassland aboveground biomass; Machine learning models; Precipitation sensitivity; Random forests; Terrestrial ecosystems; Three-rivers headwater regions; Remote sensing; aboveground biomass; estimation method; grassland; headwater; machine learning; model; China",Article,Scopus,2-s2.0-85118762155
"Schneider K., Makowski D., Van Der Werf W.","57216630069;6603950439;57189049178;","Predicting hotspots for invasive species introduction in Europe",2021,"Environmental Research Letters","16","11","114026","","",,,"10.1088/1748-9326/ac2f19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118723388&doi=10.1088%2f1748-9326%2fac2f19&partnerID=40&md5=75c208d2f74c87dcbebb043ae4b76161","big data; elastic-net; machine learning; pest introduction","Machine learning; Maps; Risk analysis; Risk assessment; Data driven; Elastic net; Generic data; Hotspots; Invasive species; Pest introduction; Plant pests; Prevention and controls; Societal costs; Species introductions; Big data; environmental management; environmental modeling; habitat restoration; invasive species; restoration ecology; Europe",Article,Scopus,2-s2.0-85118723388
"Chakraborty D., Başaǧaoǧlu H., Gutierrez L., Mirchi A.","57188957880;6701506538;57219778840;43261607600;","Explainable AI reveals new hydroclimatic insights for ecosystem-centric groundwater management",2021,"Environmental Research Letters","16","11","114024","","",,1,"10.1088/1748-9326/ac2fde","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118722273&doi=10.1088%2f1748-9326%2fac2fde&partnerID=40&md5=baaed4e371bdf2d8339c6b8138e35be7","climate change; explainable artificial intelligence; forecasting model; groundwater depletion; hydrological drought","Aquifers; Artificial intelligence; Climate models; Conservation; Drought; Ecosystems; Groundwater resources; Hydrogeology; Soil moisture; Water management; Explainable artificial intelligence; Forecasting models; Groundwater depletion; Groundwater level fluctuation; Groundwater management; Human consumption; Hydroclimatic; Hydroclimatic factors; Hydrological droughts; Karstic aquifer; Climate change; aquifer; artificial intelligence; drought resistance; ecosystem; groundwater control; semiarid region; sustainability",Article,Scopus,2-s2.0-85118722273
"Marchowski D.","56955761600;","Drones, automatic counting tools, and artificial neural networks in wildlife population censusing",2021,"Ecology and Evolution","11","22",,"16214","16227",,,"10.1002/ece3.8302","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118509849&doi=10.1002%2fece3.8302&partnerID=40&md5=6e54c5ba2a9f4ce22d711cde1a79cf9e","bird monitoring; birds’ reactions to drones; machine learning; microbiological tools in ecological research; unmanned aerial vehicle; waterbirds",,Article,Scopus,2-s2.0-85118509849
"Kurten S., Winant D., Beullens K.","56275237300;57211801475;23396194000;","Mothers matter: Using regression tree algorithms to predict adolescents’ sharing of drunk references on social media",2021,"International Journal of Environmental Research and Public Health","18","21","11338","","",,1,"10.3390/ijerph182111338","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118330907&doi=10.3390%2fijerph182111338&partnerID=40&md5=62b8a88b7c0706ae95ff6a4147bf1a24","Adolescents; CART; Extreme gradient boosting; Machine learning; Regression tree; Social media","alcohol; accuracy assessment; adolescence; alcohol consumption; algorithm; consumption behavior; future prospect; information and communication technology; Internet; machine learning; multiple regression; regression analysis; social behavior; social media; young population; adolescent; adolescent behavior; alcohol consumption; algorithm; Article; drinking behavior; exposure; female; human; machine learning; major clinical study; male; prediction; random forest; regression tree algorithm; social media; algorithm; cross-sectional study; drinking behavior; mother; social norm; Adolescent; Alcohol Drinking; Algorithms; Cross-Sectional Studies; Female; Humans; Male; Mothers; Social Media; Social Norms",Article,Scopus,2-s2.0-85118330907
"Huang Y., Liu H., Zhang L., Li S., Wang W., Ren Z., Zhou Z., Ma X.","57209104668;57209102080;57218880150;57219219185;35767043800;57204589647;35294601700;57020205200;","The psychological and behavioral patterns of online psychological help-seekers before and during covid-19 pandemic: A text mining-based longitudinal ecological study",2021,"International Journal of Environmental Research and Public Health","18","21","11525","","",,1,"10.3390/ijerph182111525","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118327901&doi=10.3390%2fijerph182111525&partnerID=40&md5=4d4b4d3a0d423f5678ac6fe07cbfb7a0","COVID-19; Online mental health service; Online psychological help-seeking behavior; Text mining","COVID-19; data mining; epidemic; health services; human behavior; mental health; pandemic; psychology; trend analysis; anger; anxiety; Article; artificial intelligence; China; controlled study; coronavirus disease 2019; depression; ecology; family; help seeking behavior; human; human relation; longitudinal study; love; marriage; mental health; mental health service; online system; pandemic; patient worry; psychological aspect; psychotherapy; social phobia; suicidal behavior; text mining; time series analysis; work; data mining; China; Anxiety; COVID-19; Data Mining; Depression; Humans; Pandemics; SARS-CoV-2",Article,Scopus,2-s2.0-85118327901
"Guo C., Gao J., Zhou B., Yang J.","57209692431;56022128900;57202047090;57217105584;","Factors of the ecosystem service value in water conservation areas considering the natural environment and human activities: A case study of Funiu mountain, China",2021,"International Journal of Environmental Research and Public Health","18","21","11074","","",,1,"10.3390/ijerph182111074","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117696367&doi=10.3390%2fijerph182111074&partnerID=40&md5=778a16901acb376c0f41281fd87345c7","Ecosystem services; Influencing factors; Random forest; Water conservation area","conservation management; ecosystem service; environmental management; human activity; water resource; water supply; article; biodiversity; China; climate; economic development; ecosystem; human; human experiment; precipitation; random forest; soil; vegetation; water conservation; China; environmental protection; China; Hunan; Mount Funiu; Biodiversity; China; Conservation of Natural Resources; Conservation of Water Resources; Ecosystem; Humans",Article,Scopus,2-s2.0-85117696367
"Yousefi S., Avand M., Yariyan P., Jahanbazi Goujani H., Costache R., Tavangar S., Tiefenbacher J.P.","56872543000;57211272433;57215842513;57278122200;55888132500;56490370800;6602615383;","Identification of the most suitable afforestation sites by Juniperus excels specie using machine learning models: Firuzkuh semi-arid region, Iran",2021,"Ecological Informatics","65",,"101427","","",,,"10.1016/j.ecoinf.2021.101427","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115984822&doi=10.1016%2fj.ecoinf.2021.101427&partnerID=40&md5=118d7360242b1990c6f51afd928245b2","Afforestation; Firuzkuh region; Forest restoration; Site suitability; Tree planting","afforestation; dicotyledon; ecological modeling; identification method; machine learning; rainfall; restoration ecology; semiarid region; Iran; Tehran [Iran]; Juniperus",Article,Scopus,2-s2.0-85115984822
