Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Author Keywords,Index Keywords,Document Type,Source,EID
"Hintzen R.E., Papadopoulou M., Mounce R., Banks-Leite C., Holt R.D., Mills M., T. Knight A., Leroi A.M., Rosindell J.","56285954100;57232543600;47361237500;24831903200;13310376500;36509148300;57212302674;35598428300;16417591100;","Relationship between conservation biology and ecology shown through machine reading of 32,000 articles",2020,"Conservation Biology","34","3",,"721","732",,15,"10.1111/cobi.13435","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076412705&doi=10.1111%2fcobi.13435&partnerID=40&md5=eeb903eedd7ce6ce2ffd4c06e0d433d6","aplicaciones ecológicas; asignación latente Dirichlet; bibliometrics; bibliometría; ecological applications; ecological theory; interdisciplinario; interdisciplinary; latent Dirichlet allocation; teoría ecológica","conservation planning; ecological theory; hypothesis testing; literature review; machine learning; publishing; science and technology; ecology; environmental protection; Conservation of Natural Resources; Ecology",Article,Scopus,2-s2.0-85076412705
"Froemelt A., Buffat R., Hellweg S.","57190067905;57189296541;6603550824;","Machine learning based modeling of households: A regionalized bottom-up approach to investigate consumption-induced environmental impacts",2020,"Journal of Industrial Ecology","24","3",,"639","652",,17,"10.1111/jiec.12969","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075452942&doi=10.1111%2fjiec.12969&partnerID=40&md5=4421a05ab8aeb6a8a6b670595f07c34e","data mining; household consumption; industrial ecology; large-scale bottom-up model; machine learning; spatial analysis","Carbon footprint; Data mining; Environmental management; Learning systems; Machine learning; Population statistics; Bottom up models; Classification framework; Comprehensive information; Environmental footprints; Environmental strategy; Household Consumption; Industrial ecology; Spatial analysis; Environmental impact; bottom-up approach; building; environmental impact; environmental planning; household structure; machine learning; numerical model; policy making; population density; Switzerland",Article,Scopus,2-s2.0-85075452942
"Scott F., Antolinez J.A.A., McCall R., Storlazzi C., Reniers A., Pearson S.","57217091120;57151439900;35105546100;7003476372;6603607021;57200070918;","Hydro-Morphological Characterization of Coral Reefs for Wave Runup Prediction",2020,"Frontiers in Marine Science","7",,"361","","",,2,"10.3389/fmars.2020.00361","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086162510&doi=10.3389%2ffmars.2020.00361&partnerID=40&md5=a6c8166686c8b91d2023fb3700738266","cluster analysis; coral reefs; data mining; K-means; wave runup; XBeach",,Article,Scopus,2-s2.0-85086162510
"Li H., Zhao Y., Zheng F.","56430055100;56529828400;57195350136;","The framework of an agricultural land-use decision support system based on ecological environmental constraints",2020,"Science of the Total Environment","717",,"137149","","",,15,"10.1016/j.scitotenv.2020.137149","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079242293&doi=10.1016%2fj.scitotenv.2020.137149&partnerID=40&md5=d2aee4672b0c8964d95642e3c408e391","Changsha County; Decision support system; Ecological environmental constraints; LDSS framework; Sustainable land-use","Agriculture; Artificial intelligence; Decision support systems; Ecology; Linear programming; Managers; Risk analysis; Risk perception; Structural optimization; Sustainable development; Changsha County; Ecological environments; Environmental constraints; Environmental risk factor; LDSS framework; Multi-objective linear programming; Rural ecological environments; Sustainable land use; Land use; agricultural land; correlation; decision support system; environmental risk; feasibility study; land use planning; risk factor; rural area; socioeconomic indicator; sustainability; agricultural land; Article; China; correlational study; environmental parameters; environmental protection; feasibility study; land use; priority journal; process optimization; risk factor; rural area; simulation; standard; Changsha; China; Hunan",Article,Scopus,2-s2.0-85079242293
"Bock S.L., Lowers R.H., Rainwater T.R., Stolen E., Drake J.M., Wilkinson P.M., Weiss S., Back B., Guillette L., Parrott B.B.","56915435200;36637745500;6701749966;6506692648;7201816666;56070889800;56438605100;57197746658;7006669244;53364298200;","Spatial and temporal variation in nest temperatures forecasts sex ratio skews in a crocodilian with environmental sex determination",2020,"Proceedings of the Royal Society B: Biological Sciences","287","1926","20200210","","",,8,"10.1098/rspb.2020.0210","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084170015&doi=10.1098%2frspb.2020.0210&partnerID=40&md5=8491849389419a9c6426c9fd1a3e975f","American alligator; Climate change; Crocodilian; Machine learning; Nesting ecology; Temperature-dependent sex determination","crocodilian; forecasting method; nesting behavior; reaction norm; sex determination; sex ratio; spatial variation; temperature effect; temporal variation; Alligator mississippiensis; Crocodylidae (all crocodiles); animal; climate change; crocodilian; ecosystem; female; male; sex determination process; sex ratio; temperature; Alligators and Crocodiles; Animals; Climate Change; Ecosystem; Female; Male; Sex Determination Processes; Sex Ratio; Temperature",Article,Scopus,2-s2.0-85084170015
"Mupangwa W., Chipindu L., Nyagumbo I., Mkuhlani S., Sisito G.","14632200800;57215690963;36351191500;56910227700;55986020800;","Evaluating machine learning algorithms for predicting maize yield under conservation agriculture in Eastern and Southern Africa",2020,"SN Applied Sciences","2","5","952","","",,10,"10.1007/s42452-020-2711-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095543397&doi=10.1007%2fs42452-020-2711-6&partnerID=40&md5=d17d106b980b9bb5dc7cd1acb8b7a7a6","Agro-ecology; Big data; Cropping systems; Data-driven value creation; Smallholder agriculture","Agricultural robots; Crops; Cultivation; Forecasting; Grain (agricultural product); Machine learning; Agriculture sectors; Conservation agricultures; Crop simulation model; Cropping systems; Field experimentation; Linear algorithms; Machine learning techniques; Various technologies; Learning algorithms",Article,Scopus,2-s2.0-85095543397
"Li Y., Wang H., Wang X., Tian R.","57217167079;57217169095;57217166867;57209471227;","Analysis of Bottlenecks and Countermeasures of Ecological Environment Governance in Yangtze River Basin [长江流域生态环境治理的瓶颈及对策分析]",2020,"Research of Environmental Sciences","33","5",,"1262","1267",,,"10.13198/j.issn.1001-6929.2020.03.34","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086580798&doi=10.13198%2fj.issn.1001-6929.2020.03.34&partnerID=40&md5=7ebc674eb495f10161c8994aaa2399cd","Ecological environment governance; Engineering technical measures; High-level governance; Yangtze River protection",,Article,Scopus,2-s2.0-85086580798
"Chi K., Pang B., Cui L., Peng D., Zhu Z., Zhao G., Shi S.","57202603309;57201019910;57217045548;7202530680;56033946500;57189498168;57216990280;","Modelling the vegetation response to climate changes in the yarlung zangbo river basin using random forest",2020,"Water (Switzerland)","12","5","1433","","",,3,"10.3390/w12051433","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085955422&doi=10.3390%2fw12051433&partnerID=40&md5=0f2602b1e9578e8fe2beeee6acb1bcf3","Machine learning model; NDVI; Random forest; Yarlung zangbo river","Climate change; Correlation methods; Decision trees; Neural networks; Random forests; Rivers; Support vector machines; Vegetation; Water management; Watersheds; High-resolution datasets; Meteorological observation; Nash-Sutcliffe coefficient; Normalized difference vegetation index; Principle component analysis; Support vector machine models; Waterresource management; Yarlung zangbo river basins; Principal component analysis; artificial neural network; climate change; freshwater environment; NDVI; principal component analysis; support vector machine; vegetation cover; water budget; water management; watershed; Brahmaputra Basin; China; Qinghai-Xizang Plateau",Article,Scopus,2-s2.0-85085955422
"Hallman T.A., Robinson W.D.","56808998100;57197159475;","Comparing multi- and single-scale species distribution and abundance models built with the boosted regression tree algorithm",2020,"Landscape Ecology","35","5",,"1161","1174",,8,"10.1007/s10980-020-01007-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084657691&doi=10.1007%2fs10980-020-01007-7&partnerID=40&md5=9a0f616e4c656f02537a55c440d4a609","Abundance models; Boosted regression trees; Ecological niche model; Hurdle model; Multi-scale model; Scale optimization; Spatial scale; Species distribution model","algorithm; bird; ecological modeling; habitat type; optimization; population estimation; Aves",Article,Scopus,2-s2.0-85084657691
"Ainiwaer M., Ding J., Kasim N.","57201858196;13610395400;57199507425;","Deep learning-based rapid recognition of oasis-desert ecotone plant communities using UAV low-altitude remote-sensing data",2020,"Environmental Earth Sciences","79","10","216","","",,3,"10.1007/s12665-020-08965-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084289850&doi=10.1007%2fs12665-020-08965-w&partnerID=40&md5=0d68a223eda61082ca22035a32bff8f6","Automatic classification; Plant community; UAV image; VGG16 model; VGG19 model","Antennas; Arid regions; Ecology; Image processing; Landforms; Learning algorithms; Plant expansion; Remote sensing; Sampling; Supervised learning; Unmanned aerial vehicles (UAV); Vegetation; Automatic classification; Classification accuracy; Classification results; Convolution neural network; Generalization ability; Supervised classification; Vegetation information extraction; Vegetation restoration; Deep learning; algorithm; altitude; desert; ecotone; environmental degradation; human activity; image processing; machine learning; oasis; plant community; remote sensing; restoration ecology; satellite data; spectral analysis; supervised classification; unmanned vehicle",Article,Scopus,2-s2.0-85084289850
"Ashrafzadeh M.R., Khosravi R., Adibi M.A., Taktehrani A., Wan H.Y., Cushman S.A.","53863295500;55361412300;57192412663;57190737881;56197059600;7006293279;","A multi-scale, multi-species approach for assessing effectiveness of habitat and connectivity conservation for endangered felids",2020,"Biological Conservation","245",,"108523","","",,27,"10.1016/j.biocon.2020.108523","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082695497&doi=10.1016%2fj.biocon.2020.108523&partnerID=40&md5=d137ae583cd53ae35b7d4c310aa6ddd3","Corridor; Ecological niche model; Iran; Machine learning; Protected area; Random forest","action plan; connectivity; conservation planning; habitat selection; habitat use; machine learning; protected area; Iran; Felidae",Article,Scopus,2-s2.0-85082695497
"Shahinfar S., Meek P., Falzon G.","55372060200;7004594243;13407283800;","“How many images do I need?” Understanding how sample size per class affects deep learning model performance metrics for balanced designs in autonomous wildlife monitoring",2020,"Ecological Informatics","57",,"101085","","",,24,"10.1016/j.ecoinf.2020.101085","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082188880&doi=10.1016%2fj.ecoinf.2020.101085&partnerID=40&md5=d12cad69076d6636d871f6c30cc5a00c","Camera traps; Deep learning; Ecological informatics; Generalised additive models; Learning curves; Predictive modelling; Wildlife","accuracy assessment; algorithm; data set; empirical analysis; image analysis; image classification; informatics; least squares method; machine learning; numerical model; prediction; Africa; Australia; North America; Animalia",Article,Scopus,2-s2.0-85082188880
"Pourghasemi H.R., Gayen A., Lasaponara R., Tiefenbacher J.P.","55253664900;57204217434;6603298083;6602615383;","Application of learning vector quantization and different machine learning techniques to assessing forest fire influence factors and spatial modelling",2020,"Environmental Research","184",,"109321","","",,27,"10.1016/j.envres.2020.109321","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081658773&doi=10.1016%2fj.envres.2020.109321&partnerID=40&md5=49b9298ffb2a02eef7a065c85015cde9","Boosted regression trees; Forest-fire susceptibility map; Generalized linear model; Learning-vector quantization; Mixture discriminant analysis","rain; accuracy assessment; data set; database; discriminant analysis; forest fire; GIS; machine learning; model validation; regression analysis; satellite imagery; slope angle; spatial analysis; vector autoregression; algorithm; Article; boosted regression tree; corrected classify instance; discriminant analysis; environmental temperature; f measure; forest fire; forest management; general linear model; geographic information system; Iran; k fold cross validation; land use; learning vector quantization; machine learning; measurement accuracy; mixture discriminant analysis; priority journal; random forest; receiver operating characteristic; river; statistical model; true skill statistic; urban area; validation process; machine learning; wildfire; Fars; Iran; Geographic Information Systems; Iran; Machine Learning; Rivers; Wildfires",Article,Scopus,2-s2.0-85081658773
"Masmoudi S., Elghazel H., Taieb D., Yazar O., Kallel A.","57200163694;15043862500;57200158827;57212505659;6701316979;","A machine-learning framework for predicting multiple air pollutants' concentrations via multi-target regression and feature selection",2020,"Science of the Total Environment","715",,"136991","","",,24,"10.1016/j.scitotenv.2020.136991","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078984547&doi=10.1016%2fj.scitotenv.2020.136991&partnerID=40&md5=1cac9ce1b67c878fa359acf002e47bc4","Air pollution; Feature ranking; Forecasting; Machine learning; Multi-target regression (MTR)","Air pollution; Air quality; Decision trees; Forecasting; Learning systems; Machine learning; Regression analysis; Air quality forecasting; Air quality monitoring; Feature ranking; Machine learning techniques; Multi-targets; Run-time performance; State-of-the-art methods; Statistical approach; Feature extraction; air quality; atmospheric pollution; ensemble forecasting; machine learning; numerical model; random walk method; ranking; regression analysis; sensitivity analysis; air pollutant; air quality; article; city; ecosystem; feature ranking; feature selection; forecasting; human; industrial area; random forest",Article,Scopus,2-s2.0-85078984547
"Caruso F., Dong L., Lin M., Liu M., Gong Z., Xu W., Alonge G., Li S.","57208010973;56226802300;56197055300;57193571269;57196073953;57216770326;15076639700;8223827100;","Monitoring of a Nearshore Small Dolphin Species Using Passive Acoustic Platforms and Supervised Machine Learning Techniques",2020,"Frontiers in Marine Science","7",,"267","","",,14,"10.3389/fmars.2020.00267","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084581574&doi=10.3389%2ffmars.2020.00267&partnerID=40&md5=a89a3dc09888bbacd8156d25b00d5188","acoustic behavior; coastal waters; distribution; Indo-Pacific humpback dolphin; passive acoustic monitoring; spatiotemporal patterns",,Article,Scopus,2-s2.0-85084581574
"Lorilla R.S., Poirazidis K., Detsis V., Kalogirou S., Chalkias C.","57203392577;57203888036;6508379889;8720832900;12753403000;","Socio-ecological determinants of multiple ecosystem services on the Mediterranean landscapes of the Ionian Islands (Greece)",2020,"Ecological Modelling","422",,"108994","","",,10,"10.1016/j.ecolmodel.2020.108994","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080078681&doi=10.1016%2fj.ecolmodel.2020.108994&partnerID=40&md5=604426dddca9c596a27d6ffecb40b634","Ecosystem services; Ionian Islands; Landscape planning; Predictive mapping; Random forest; Socio-ecological factors","Biodiversity; Climate change; Decision trees; Economics; Learning systems; Random forests; Ecosystem services; Ionian Islands; Landscape planning; Predictive mapping; Socio-ecological; Ecosystems; algorithm; biodiversity; climate change; ecosystem service; landscape ecology; landscape planning; machine learning; mapping method; Aegean Islands; Greece; Ionian Islands; Mediterranean Region",Article,Scopus,2-s2.0-85080078681
"Miao Y., Johnson N.W., Phan T., Heck K., Gedalanga P.B., Zheng X., Adamson D., Newell C., Wong M.S., Mahendra S.","55871439600;57202468697;57203888747;15019550700;20435393800;57214333339;35895135100;7006641207;7403908683;6602457750;","Monitoring, assessment, and prediction of microbial shifts in coupled catalysis and biodegradation of 1,4-dioxane and co-contaminants",2020,"Water Research","173",,"115540","","",,23,"10.1016/j.watres.2020.115540","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078666898&doi=10.1016%2fj.watres.2020.115540&partnerID=40&md5=ea1c03833f765f5abf41b16ae1b64910","Bioremediation; Deterministic process; Machine learning; Metagenome; Predictive functions; Synergistic treatments","Bacteria; Bioremediation; Catalysis; Catalytic oxidation; Contamination; Learning systems; Mixtures; Volatile organic compounds; Zirconia; Chlorinated volatile organic compounds; Contaminant mixtures; Deterministic process; Metagenomes; Microbial communities; Microbial community dynamics; Predictive function; Synergistic treatments; Biodegradation; dioxane; ground water; hydrogen peroxide; trichloroethylene; volatile organic compound; zirconium oxide; 1,4-dioxane; dioxane derivative; hydrogen peroxide; bioaugmentation; biodegradation; catalysis; chemical pollutant; community dynamics; concentration (composition); genome; hydrogen peroxide; machine learning; microbial activity; microbial community; pollutant removal; trichloroethylene; Article; bacterial strain; biodegradation; catalysis; catalyst; contamination; DNA extraction; interspecific competition; microbial community; nonhuman; oxidation; prediction; priority journal; Pseudonocardia; Pseudonocardia dioxanivorans; random forest; real time polymerase chain reaction; Rhodococcus; soil analysis; Sphingomonas; water sampling; bioremediation; catalysis; water pollutant; Bacteria (microorganisms); Pseudomonas; Pseudonocardia dioxanivorans; Ralstonia; Rhodococcus; Sphingomonas; Biodegradation, Environmental; Catalysis; Dioxanes; Hydrogen Peroxide; Water Pollutants, Chemical",Article,Scopus,2-s2.0-85078666898
"de Menezes M.D., Bispo F.H.A., Faria W.M., Gonçalves M.G.M., Curi N., Guilherme L.R.G.","34167650700;35101266200;57210920488;57210129144;7004757489;6603662544;","Modeling arsenic content in Brazilian soils: What is relevant?",2020,"Science of the Total Environment","712",,"136511","","",,12,"10.1016/j.scitotenv.2020.136511","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077778452&doi=10.1016%2fj.scitotenv.2020.136511&partnerID=40&md5=ef5d0c6047a844c6161b860f4f89bc01","Cluster analysis; Environmental covariates; Grouping analysis; Machine learning; Variable importance","Arsenic; Cluster analysis; Decision trees; Developing countries; Health risks; Learning systems; Machine learning; Organic carbon; Rare earths; Remote sensing; Surveys; Textures; Titanium dioxide; Covariates; Environmental conditions; Environmental indicators; Environmental surveys; Geographical information; Grouping analysis; Recursive feature elimination; Variable importances; Soils; arsenic; organic carbon; soil organic carbon; titanium dioxide; unclassified drug; arsenic; cluster analysis; environmental conditions; machine learning; pedology; soil survey; soil temperature; topsoil; agricultural land; Article; Brazil; environmental factor; floodplain; geographic distribution; geographic information system; intermethod comparison; machine learning; priority journal; random forest; remote sensing; sand; soil analysis; soil chemistry; soil texture; temperature; Brazil",Article,Scopus,2-s2.0-85077778452
"Pal S., Talukdar S.","55469273900;57194545588;","Modelling seasonal flow regime and environmental flow in Punarbhaba river of India and Bangladesh",2020,"Journal of Cleaner Production","252",,"119724","","",,12,"10.1016/j.jclepro.2019.119724","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077006299&doi=10.1016%2fj.jclepro.2019.119724&partnerID=40&md5=c8e0a4c88c6af20fc61c3695c41cb9fa","Degree of flow alteration and environmental flow; Flow periodicity; Flow prediction; Machine learning techniques",,Article,Scopus,2-s2.0-85077006299
"Cordier T.","56616262500;","Bacterial communities’ taxonomic and functional turnovers both accurately predict marine benthic ecological quality status",2020,"Environmental DNA","2","2",,"175","183",,13,"10.1002/edn3.55","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087146644&doi=10.1002%2fedn3.55&partnerID=40&md5=9fab1dbac6c54bf9b38068f663dbc9ec","bacteria; benthic monitoring; biotic indices; environmental DNA; functional profiles; supervised machine learning",,Article,Scopus,2-s2.0-85087146644
"Conticello F.R., Cioffi F., Lall U., Merz B.","57105779100;57104880700;7007127326;7102395993;","Synchronization and Delay Between Circulation Patterns and High Streamflow Events in Germany",2020,"Water Resources Research","56","4","e2019WR025598","","",,1,"10.1029/2019WR025598","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084005567&doi=10.1029%2f2019WR025598&partnerID=40&md5=7e31a6d003e0e7e02159a0847b158ee0","circulation pattern; event synchronization; Germany; streamflow","Atmospheric structure; Catchments; Climatology; Conformal mapping; Flood control; Floods; Logistic regression; Rain; Self organizing maps; Stream flow; Synchronization; Atmospheric circulation; Atmospheric circulation patterns; Circulation patterns; Event synchronization; Geo-potential heights; Probability of occurrence; Spacetime structures; Unsupervised neural networks; Learning systems; atmospheric circulation; catchment; flood; flooding; hydrological modeling; rainfall; streamflow; Germany",Article,Scopus,2-s2.0-85084005567
"Brown M.J.M., Holland B.R., Jordan G.J.","57217563689;7102232762;7202856568;","hyperoverlap: Detecting biological overlap in n-dimensional space",2020,"Methods in Ecology and Evolution","11","4",,"513","523",,7,"10.1111/2041-210X.13363","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083621928&doi=10.1111%2f2041-210X.13363&partnerID=40&md5=0bc80b2edfeaa8f316886871f423e91d","biological overlap; ecospace; hyperoverlap; hypervolume; machine learning; morphospace; phenotypic overlap; support vector machines",,Article,Scopus,2-s2.0-85083621928
"Albert M.J.","57216457710;","The Dangers of Decoupling: Earth System Crisis and the ‘Fourth Industrial Revolution’",2020,"Global Policy","11","2",,"245","254",,6,"10.1111/1758-5899.12791","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083579065&doi=10.1111%2f1758-5899.12791&partnerID=40&md5=8c658dd6dc085b76db6239b23acd7aed",,,Article,Scopus,2-s2.0-85083579065
"Portelli R.A.","57211902825;","Don’t throw the baby out with the bathwater: reappreciating the dynamic relationship between humans, machines, and landscape images",2020,"Landscape Ecology","35","4",,"815","822",,3,"10.1007/s10980-020-00992-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082859757&doi=10.1007%2fs10980-020-00992-z&partnerID=40&md5=9280f1d3d444b7e6f9e5948c91ba60ed","Affect; Landscape; Machine learning; Visual perception","algorithm; landscape; landscape ecology; landscape structure; machine learning; remote sensing; visual analysis",Article,Scopus,2-s2.0-85082859757
"Lin H.-Y., Li C.-F., Chen T.-Y., Hsieh C.-F., Wang G., Wang T., Hu J.-M.","55534368900;36443824600;49661020300;7401723825;55738672900;56026541800;56168282700;","Climate-based approach for modeling the distribution of montane forest vegetation in Taiwan",2020,"Applied Vegetation Science","23","2",,"239","253",,2,"10.1111/avsc.12485","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081245150&doi=10.1111%2favsc.12485&partnerID=40&md5=091dcef2a352bcb71f80ce5eabdd3024","climate; eastern Asia; ecological niche modeling; montane forest; random forest; subtropical forest; Taiwan; vegetation mapping",,Article,Scopus,2-s2.0-85081245150
"Schneider S., Greenberg S., Taylor G.W., Kremer S.C.","55792783300;7402294419;55377841000;7004848950;","Three critical factors affecting automated image species recognition performance for camera traps",2020,"Ecology and Evolution","10","7",,"3503","3517",,32,"10.1002/ece3.6147","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081204789&doi=10.1002%2fece3.6147&partnerID=40&md5=671940c013484ef64d0e2eca56bf3ab8","camera traps; computer vision; convolutional networks; deep learning; density estimation; monitoring; population dynamics; species classification",,Article,Scopus,2-s2.0-85081204789
"Mattei F., Scardi M.","57201999378;6602854058;","Embedding ecological knowledge into artificial neural network training: A marine phytoplankton primary production model case study",2020,"Ecological Modelling","421",,"108985","","",,10,"10.1016/j.ecolmodel.2020.108985","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079884983&doi=10.1016%2fj.ecolmodel.2020.108985&partnerID=40&md5=1def4a85004d2bf6ca00bfa485099015","Artificial neural networks; Customized algorithm; Ecologically sound training; Machine learning; Marine phytoplankton; Primary production","Earth (planet); Ecology; Embeddings; Errors; Learning systems; Marine biology; Neural networks; Phytoplankton; Ecological knowledge; Error back propagation; Error back propagation algorithm; Marine phytoplankton; Predictive variables; Primary production; Remotely sensed imagery; Variable learning rate; Backpropagation; algorithm; artificial neural network; ecological modeling; knowledge; machine learning; marine ecosystem; phytoplankton; primary production; remote sensing; satellite imagery; training",Article,Scopus,2-s2.0-85079884983
"Malard J.J., Adamowski J.F., Rojas Díaz M., Nassar J.B., Anandaraja N., Tuy H., Arévalo-Rodriguez L.A., Melgar-Quiñonez H.R.","56373803500;57217779740;57214996194;57212132817;25958864600;57195295561;57214994918;7801449282;","Agroecological food web modelling to evaluate and design organic and conventional agricultural systems",2020,"Ecological Modelling","421",,"108961","","",,5,"10.1016/j.ecolmodel.2020.108961","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079693322&doi=10.1016%2fj.ecolmodel.2020.108961&partnerID=40&md5=24b13c0664722daa2744ce347dfc75c7","biocontrol; decision support system; food web modelling; integrated pest management; Opisina arenosella; population dynamics","Artificial intelligence; Biocontrol; Bioinformatics; Climate change; Climate models; Crops; Decision support systems; Dynamics; Ecosystems; Nutrients; Population dynamics; Population statistics; Risk perception; Conventional agricultures; Decision making support; Food webs; Integrated Pest Management; Opisina arenosella; Optimal management strategy; Population dynamics models; Scenario simulations; Pest control; agroecology; biological control; chemical control; climate change; crop plant; ecological modeling; food web; integrated pest management; moth; pest control; population dynamics; Hexapoda",Article,Scopus,2-s2.0-85079693322
"Dormann C.F.","7004258461;","Calibration of probability predictions from machine-learning and statistical models",2020,"Global Ecology and Biogeography","29","4",,"760","765",,9,"10.1111/geb.13070","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079052696&doi=10.1111%2fgeb.13070&partnerID=40&md5=7ba6351f78a681aa940e9f5d43525209","calibration plot; machine learning; model averaging; prediction bias; separation; species distribution model","calibration; ecological modeling; machine learning; model test; numerical model; prediction; probability; sampling bias; species diversity; statistical analysis",Article,Scopus,2-s2.0-85079052696
"Taylor A.R., Endicott S., Hennigar C.","55473530100;57195308797;17433776400;","Disentangling mechanisms of early succession following harvest: Implications for climate change adaptation in Canada's boreal-temperate forests",2020,"Forest Ecology and Management","461",,"117926","","",,8,"10.1016/j.foreco.2020.117926","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078873852&doi=10.1016%2fj.foreco.2020.117926&partnerID=40&md5=81baf9fc240cf876f693176f5c66c2fd","Climate change; Ecological forestry; Harvesting; Mechanisms; Partial-cutting; Regeneration; Succession","Atmospheric radiation; Climate models; Digital storage; Forecasting; Harvesting; Learning systems; Mechanisms; Plants (botany); Reforestation; Climate change adaptation; Direct regeneration; Machine learning techniques; Partial cutting; Radiative forcings; Regeneration; Succession; Sustainable forest management; Climate change; adaptive management; boreal forest; climate change; cutting (process); dominance; forest inventory; forest management; forestry; regeneration; succession; sustainability; temperate forest; timber harvesting; Abies Lasiocarpa; Acer Rubrum Tridens; Cutting; Forecasts; Harvesting; Reforestation; Sustainable Forest Management; Acadia; Canada; Abies balsamea; Acer rubrum; Acer saccharum; Betula; Picea mariana; Picea rubens; Populus",Article,Scopus,2-s2.0-85078873852
"Wallerstein D.","57213269515;","Food-energy-water (FEW) nexus: Rearchitecting the planet to accommodate 10 billion humans by 2050",2020,"Resources, Conservation and Recycling","155",,"104658","","",,7,"10.1016/j.resconrec.2019.104658","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077746834&doi=10.1016%2fj.resconrec.2019.104658&partnerID=40&md5=8660abfef4e3c378bed3a51994c730c5",,"fossil fuel; water; energy use; food security; sustainable development; water availability; agriculture; air pollution control; artificial intelligence; basic needs; cost control; ecology; energy; environmental resilience; environmental sustainability; exhaust gas; food; harvest; health care delivery; housing; human; meat consumption; quality of life; renewable energy; residential area; safety; Short Survey; telecommunication; water supply; water treatment",Short Survey,Scopus,2-s2.0-85077746834
"Wellmann T., Lausch A., Scheuer S., Haase D.","57196223984;55885309100;24279175800;7005362244;","Earth observation based indication for avian species distribution models using the spectral trait concept and machine learning in an urban setting",2020,"Ecological Indicators","111",,"106029","","",,9,"10.1016/j.ecolind.2019.106029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077505689&doi=10.1016%2fj.ecolind.2019.106029&partnerID=40&md5=fc06b87b537bd355533922f222ab9bb7","Machine learning; Random forest; Remote sensing; Species distribution model; Spectral traits; Urban birds","Birds; Decision trees; Ecosystems; Electrooptical devices; Forestry; Land use; Learning systems; Machine learning; Observatories; Population distribution; Remote sensing; Vegetation; Earth observation data; Greenspace managements; Machine learning techniques; Random forests; Species distribution modeling; Species distribution models; Spectral traits; Structural heterogeneity; Urban growth; bird; forest; greenspace; heterogeneity; machine learning; RapidEye; satellite data; spatial resolution; species richness; urban development; vegetation structure; Germany; Leipzig; Saxony; Aves",Article,Scopus,2-s2.0-85077505689
"Oczkowski A., Kreakie B., Gutierrez M.N., Pelletier M., Charpentier M., Santos E., Kiddon J.","14822590500;54405939600;57212485811;7102314772;7003750015;57202915513;6602592458;","Geography, not human impact, is the predominant predictor in a 150-year stable isotope fish record from the coastal United States",2020,"Ecological Indicators","111",,"106022","","",,3,"10.1016/j.ecolind.2019.106022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076865140&doi=10.1016%2fj.ecolind.2019.106022&partnerID=40&md5=a1120b66d35eaca10fa18beecb77e7ce","Anthropogenic; Carbon; Estuaries; Fish; Machine learning; Nitrogen; Random forest; Stable isotope; United States","Carbon; Decision trees; Ecology; Estuaries; Fish; Isotopes; Learning systems; Nitrogen; Offshore oil well production; Population statistics; Anthropogenic; Coastal food web; Continental scale; Ecosystem response; Organic matter source; Random forests; Stable isotopes; United States; Meats; coastal water; ecosystem response; estuarine environment; fish; food web; machine learning; nitrogen; nutrient enrichment; stable isotope; United States",Article,Scopus,2-s2.0-85076865140
